source,condition_tag,section,resource_type,content,url,collection,country,phone
findahelpline.com,crisis,Helpline: Tele MANAS,helpline,Tele MANAS is a mental health helpline in India. Phone: 14416. Website: https://telemanas.mohfw.gov.in/home. Topics covered: mental health.,https://telemanas.mohfw.gov.in/home,helplines_crisis,India,14416
findahelpline.com,crisis,Helpline: Aasra / आसरा,helpline,Aasra / आसरा is a mental health helpline in India. Phone: 91-9820466726. Website: http://www.aasra.info/. Topics covered: mental health.,http://www.aasra.info/,helplines_crisis,India,91-9820466726
findahelpline.com,crisis,Helpline: NCW 24x7 Helpline | एनसीडब्ल्यू 24x7 हेल्पलाइन,helpline,NCW 24x7 Helpline | एनसीडब्ल्यू 24x7 हेल्पलाइन is a mental health helpline in India. Phone: 7827-170-170. Topics covered: mental health.,https://findahelpline.com/countries/in,helplines_crisis,India,7827-170-170
findahelpline.com,crisis,Helpline: Vandrevala Foundation crisis intervention helpline,helpline,Vandrevala Foundation crisis intervention helpline is a mental health helpline in India. Phone: +91 9999 666 555. Website: https://www.vandrevalafoundation.com/free-counseling. Topics covered: mental health.,https://www.vandrevalafoundation.com/free-counseling,helplines_crisis,India,+91 9999 666 555
findahelpline.com,crisis,"Helpline: Snehi Helpline, Crisis Intervention Tele Counselling Support",helpline,"Snehi Helpline, Crisis Intervention Tele Counselling Support is a mental health helpline in India. Phone: +919582208181. Website: https://www.snehi.org.in/. Topics covered: mental health.",https://www.snehi.org.in/,helplines_crisis,India,+919582208181
findahelpline.com,crisis,Helpline: Jeevan Aastha Helpline,helpline,Jeevan Aastha Helpline is a mental health helpline in India. Phone: 1800 233 3330. Website: https://www.jeevanaastha.com/. Topics covered: mental health.,https://www.jeevanaastha.com/,helplines_crisis,India,1800 233 3330
findahelpline.com,crisis,"Helpline: 1 Life, Crisis Support, Suicide Prevention",helpline,"1 Life, Crisis Support, Suicide Prevention is a mental health helpline in India. Phone: 78930-78930. Website: https://1life.org.in/. Topics covered: mental health.",https://1life.org.in/,helplines_crisis,India,78930-78930
findahelpline.com,crisis,Helpline: 24x7 Helpline for SGBV Survivors,helpline,24x7 Helpline for SGBV Survivors is a mental health helpline in India. Phone: +917838957810. Website: https://shaktishalini.org/. Topics covered: mental health.,https://shaktishalini.org/,helplines_crisis,India,+917838957810
findahelpline.com,crisis,Helpline: Aks Foundation,helpline,Aks Foundation is a mental health helpline in India. Phone: +91 8793 088 814. Website: https://aksfoundation.org/. Topics covered: mental health.,https://aksfoundation.org/,helplines_crisis,India,+91 8793 088 814
findahelpline.com,crisis,"Helpline: Dhwani- National domestic violence helpline, International Foundation for Crime Prevention and Victim Care (PCVC)",helpline,"Dhwani- National domestic violence helpline, International Foundation for Crime Prevention and Victim Care (PCVC) is a mental health helpline in India. Phone: 9840888882. Website: https://www.pcvconline.org/. Topics covered: mental health.",https://www.pcvconline.org/,helplines_crisis,India,9840888882
